link,current_slice_id,future_slice_id,label
316263,5,34,1
681495,157,172,1
605002,10,19,1
455194,3,16,1
38957,5,22,1
312912,3,30,1
450107,188,212,1
221653,2,23,1
603604,9,12,1
153113,4,18,1
263729,3,32,1
183562,5,22,1
206137,9,13,1
205734,10,24,1
216046,3,29,1
56015,5,18,1
211127,2,25,1
512462,9,14,1
309438,10,18,1
263825,2,20,1
684873,6,25,1
221728,0,24,1
228502,7,12,1
38648,3,32,1
382982,7,17,1
226258,3,26,1
600571,190,203,1
598816,8,22,1
623913,176,191,1
164976,7,23,1
57396,10,33,1
58626,3,29,1
182302,2,11,1
607507,8,24,1
515263,5,11,1
611079,203,232,1
509690,0,19,1
624088,0,18,1
33726,10,17,1
454243,6,20,1
382673,3,13,1
310463,5,29,1
143372,9,24,1
136865,7,15,1
496750,10,28,1
479511,1,17,1
256175,5,22,1
162131,2,12,1
575788,9,21,1
262645,8,32,1
623370,5,17,1
629132,2,20,1
182496,9,23,1
412641,0,15,1
509582,0,20,1
17191,173,202,1
479511,1,19,1
196409,4,20,1
307693,10,11,1
623370,5,19,1
256175,5,24,1
393937,207,220,1
412641,0,17,1
280575,5,30,1
136865,7,17,1
629132,2,22,1
101278,1,29,1
182496,9,25,1
282570,7,11,1
143372,9,26,1
232872,6,12,1
575788,9,23,1
509582,0,22,1
162131,2,14,1
622434,10,31,1
58987,6,23,1
260181,3,28,1
678377,8,18,1
38456,6,21,1
678790,10,12,1
72337,9,29,1
270162,130,157,1
173255,3,25,1
324423,5,19,1
111965,0,13,1
260200,9,24,1
339213,0,20,1
319503,10,29,1
507979,158,185,1
324088,9,36,1
375224,215,229,1
283802,9,28,1
506923,6,15,1
99648,10,30,1
251049,275,293,1
279619,3,24,1
210973,10,30,1
251830,2,14,1
677198,166,181,1
143372,9,33,1
532322,7,16,1
412641,0,24,1
336221,10,18,1
479511,1,26,1
148017,188,210,1
316360,3,18,1
148612,3,18,1
575788,9,30,1
162131,2,21,1
528117,2,18,1
222918,10,16,1
136865,7,24,1
336242,7,11,1
256175,5,31,1
310856,142,160,1
623370,5,26,1
316431,3,17,1
182496,9,32,1
684879,9,16,1
223471,10,30,1
584675,431,448,1
382673,3,22,1
214922,9,14,1
143215,1,22,1
38444,2,13,1
251049,275,298,1
111965,0,18,1
99648,10,35,1
353885,8,31,1
684779,10,13,1
620190,4,13,1
38456,6,26,1
622434,10,36,1
112219,9,38,1
58856,1,13,2
210973,10,35,1
642638,5,24,1
684775,6,14,1
260200,9,29,1
251830,2,19,1
279619,3,29,1
654513,2,30,1
58987,6,28,1
38444,2,14,1
99648,10,36,1
642638,5,25,1
622434,10,37,1
654513,2,31,1
210973,10,36,1
214922,9,15,1
38456,6,27,1
58987,6,29,1
316711,2,30,1
251049,275,299,1
111965,0,19,1
620190,4,14,1
353885,8,32,1
143215,1,23,1
684779,10,14,1
684775,6,15,1
58856,1,14,1
38444,2,15,1
99648,10,37,1
316711,2,31,1
353885,8,33,1
143215,1,24,1
58856,1,15,1
210973,10,37,1
622434,10,38,1
684775,6,16,1
642638,5,26,1
684779,10,15,1
273431,9,21,1
38456,6,28,1
620190,4,15,1
214922,9,16,1
144571,3,32,1
272419,10,22,1
331879,4,31,1
64802,2,22,1
306733,6,30,1
307712,9,32,1
353096,4,16,1
277350,8,29,1
595447,7,19,1
675571,3,13,1
619566,8,31,1
516913,2,22,1
14181,8,22,1
636342,2,15,1
619735,10,19,1
513577,9,35,1
260434,7,26,1
216275,7,20,1
334343,10,19,1
72337,9,32,1
442575,5,16,1
143486,2,17,1
83119,9,27,1
446591,5,13,1
319503,10,32,1
276408,8,19,1
39307,4,32,1
260181,3,31,1
287845,161,180,1
320432,10,37,1
223258,3,14,1
684823,8,35,1
142378,9,15,1
70612,10,13,1
678377,8,21,1
64818,4,15,1
283802,9,31,1
476173,7,23,1
39404,6,32,1
578194,1,20,1
273507,7,21,1
511963,9,38,1
544186,8,24,1
620130,5,16,1
382660,9,13,1
9784,9,24,1
152856,7,11,1
309017,4,33,1
628089,6,26,2
338925,2,26,1
335549,10,37,1
38865,5,11,1
338345,3,24,1
235998,504,527,1
99635,8,37,1
476171,10,27,1
283431,6,16,1
620007,6,32,1
58987,6,33,1
111965,0,23,1
239779,9,15,1
16866,176,205,1
205576,76,100,1
324423,5,29,1
267717,3,16,1
143141,3,12,1
336130,9,11,1
173194,130,150,1
9523,138,158,1
319503,10,39,1
251830,2,24,1
613821,150,178,1
260200,9,34,1
203225,1,13,1
506923,6,25,1
38456,6,31,1
381464,8,31,1
354496,7,16,1
70612,10,25,1
179521,8,37,1
240734,0,19,1
279091,4,18,1
354496,7,21,1
267717,3,21,1
142378,9,27,1
243368,8,14,1
379497,179,196,1
446591,5,25,1
177167,5,12,1
64818,4,27,1
239779,9,20,1
442575,5,28,1
246508,10,16,1
324423,5,34,1
622530,2,11,1
223258,3,26,1
325403,6,13,1
57935,9,18,1
532078,0,14,1
278479,4,17,1
620335,3,18,1
223374,10,13,1
58878,2,20,1
116136,197,211,1
206156,8,26,1
273573,7,16,1
516426,3,13,1
383082,7,21,1
223468,178,207,1
238945,1,29,1
512593,7,14,1
182366,4,22,1
267672,8,26,1
209935,7,29,1
144453,8,34,1
308647,8,16,1
476651,3,11,1
278732,9,15,1
179809,10,21,1
321616,5,21,1
334343,10,31,1
9838,3,32,1
15740,3,29,1
255874,7,18,1
324098,7,24,1
377334,0,11,1
504533,6,19,1
616973,342,367,1
321785,10,22,1
202236,4,11,1
34679,162,177,1
58295,7,31,1
449965,88,107,1
335795,1,19,1
606764,9,17,1
307850,8,36,1
14012,177,199,1
292809,2,25,1
570230,10,32,1
278717,7,26,1
258284,2,21,1
142820,8,28,1
240752,8,34,1
240752,8,36,1
312209,5,31,1
258284,2,23,1
283800,197,220,2
278717,7,28,1
251779,10,12,1
33283,10,20,1
383095,5,27,1
226779,171,200,1
278479,4,20,1
476169,8,12,1
172362,7,26,1
153900,7,23,1
57935,9,21,1
263973,9,23,1
336139,1,17,1
270827,7,33,1
412498,9,24,1
269011,208,220,1
154135,0,20,1
507699,9,30,1
527926,51,54,1
322537,10,36,1
179297,1,17,1
503520,2,19,1
620052,357,369,1
34169,7,14,1
383047,7,12,1
382830,1,28,1
142820,8,30,1
337848,8,34,1
575790,3,14,1
313393,3,19,1
58889,7,35,2
192874,10,33,1
158547,3,13,1
578392,5,22,1
316382,1,14,1
33283,10,36,1
315973,5,22,1
314992,10,11,1
380760,5,34,1
597229,8,11,1
367417,10,24,1
317344,8,15,1
269707,9,24,1
164935,0,12,1
262606,2,30,1
532820,3,32,1
307207,149,162,1
335308,6,33,1
196411,1,20,1
316726,7,19,1
152557,0,21,1
70528,5,16,1
678093,0,21,1
423996,8,14,1
544437,10,26,1
615704,44,68,1
73241,10,23,1
623795,9,11,1
624577,157,170,1
508223,621,633,1
24142,193,219,1
36733,25,53,1
172362,7,31,1
608189,0,15,1
33413,0,25,1
150340,544,556,2
155360,4,14,1
678629,3,18,1
336139,1,22,1
319493,5,18,1
243001,583,595,2
507876,209,223,1
338776,5,14,1
653475,2,19,1
34169,7,28,1
383047,7,26,1
575790,3,28,1
684910,7,17,1
158547,3,27,1
172289,389,407,1
206268,8,15,1
67680,40,52,1
34603,2,16,1
277625,536,557,1
19804,5,15,1
174047,2,22,1
596570,8,29,1
111342,126,152,1
507876,209,224,1
383047,7,27,1
111342,126,153,1
172289,389,408,1
319493,5,19,1
19804,5,16,1
34603,2,17,1
158547,3,28,1
67680,40,53,1
212487,5,11,1
338776,5,15,1
277625,536,558,1
335850,0,11,1
374217,7,20,1
684910,7,18,1
243001,583,596,2
34169,7,29,1
317374,0,20,1
206268,8,16,1
205734,10,14,1
312912,3,20,1
311303,9,32,1
316263,5,24,1
677164,4,15,1
38957,5,12,1
211127,2,15,1
216046,3,19,1
143394,0,27,1
41471,7,35,1
684873,6,15,1
221728,0,14,1
183562,5,12,1
450107,188,202,1
221653,2,13,1
38648,3,22,1
111910,8,30,1
342741,1,21,1
263729,3,22,1
312482,0,28,1
73091,8,30,1
70528,5,22,1
423996,8,20,1
367417,10,30,1
615674,192,210,1
239111,1,11,1
321449,3,11,1
317374,0,27,1
317344,8,21,1
269707,9,30,1
544437,10,32,1
17345,12,16,1
339406,4,12,1
271970,6,13,1
2957,3,16,1
335850,0,18,1
237919,179,200,1
316726,7,25,1
374217,7,27,1
65542,1,22,1
343673,2,12,1
267645,6,21,1
136503,6,30,1
544911,8,34,1
598816,8,15,1
607507,8,17,1
100578,8,36,1
353481,7,26,1
353513,188,216,1
336725,8,36,1
374693,2,12,1
256027,4,22,1
164976,7,16,1
315803,132,145,1
142686,4,21,1
57396,10,26,1
622739,4,11,1
610288,1,15,1
277949,9,16,1
231554,4,28,1
478271,9,38,1
252589,10,27,1
353578,130,144,1
335591,2,13,1
268569,8,36,1
509443,7,22,1
239968,140,165,1
606699,180,204,1
591874,4,15,1
323208,6,20,1
232303,592,621,1
440141,10,20,1
310426,7,19,1
314817,2,12,1
338605,6,14,1
180376,30,37,1
252565,6,24,1
152557,341,369,1
649639,9,20,1
270816,5,31,1
472787,9,27,1
684813,2,13,1
516911,1,11,1
595559,0,21,1
6327,9,37,1
308524,10,14,1
228170,2,28,1
305112,9,12,1
440146,8,25,1
312894,0,15,1
662312,2,25,1
374983,5,17,1
337844,5,25,1
375094,8,24,1
511230,199,223,1
245262,154,165,1
623148,68,83,1
656335,0,18,1
179875,1,24,1
254038,4,12,1
676921,10,32,1
339224,2,31,1
293314,1,17,1
354486,2,24,1
270274,5,32,1
53856,4,33,1
370489,5,16,1
33329,6,32,1
143219,6,26,1
268478,0,22,1
182587,8,23,1
553989,200,220,1
541981,5,33,1
440185,2,27,1
213200,7,16,1
335693,8,15,1
335183,5,33,1
339436,5,24,1
317521,72,87,1
279136,5,11,1
143219,6,27,1
335693,8,16,1
288276,7,27,1
33329,6,33,1
335183,5,34,1
268478,0,23,1
339436,5,25,1
39758,8,11,1
141319,10,30,1
182587,8,24,1
370489,5,17,1
541981,5,34,1
440185,2,28,1
266970,378,400,1
240836,6,14,1
12792,8,25,1
336520,2,28,1
311303,9,28,1
662486,6,11,1
263729,3,18,1
312912,3,16,1
262368,5,13,1
577953,150,161,1
73091,8,26,1
215926,0,12,1
597033,199,215,1
111910,8,26,1
338496,7,23,1
24142,193,222,1
678629,3,21,1
38648,3,18,1
342741,1,17,1
539670,2,16,1
258150,2,27,1
255825,5,17,1
310907,0,16,1
507905,0,14,1
593994,0,24,1
39758,8,20,1
370489,5,26,1
288276,7,36,1
182587,8,33,1
641785,5,18,1
64885,3,20,1
193284,10,11,1
377522,0,12,1
339436,5,34,1
335693,8,25,1
279136,5,20,1
333470,10,35,1
177118,3,12,1
282491,9,38,1
641785,5,22,1
255825,5,21,1
528890,5,14,1
629597,6,24,1
324104,3,15,1
536687,9,18,1
136925,9,18,1
370489,5,30,1
310907,0,20,1
315753,4,12,1
177831,0,22,1
317214,8,17,1
375394,1,25,1
300800,8,23,1
507695,7,21,1
629616,10,37,1
539670,2,20,1
273636,7,21,1
63277,3,11,1
315753,4,28,1
508364,0,25,1
226810,1,23,1
501232,7,22,1
177118,3,28,1
315013,2,11,1
320286,1,16,1
192073,8,26,1
152714,220,240,1
358969,6,14,1
30790,2,17,1
277761,9,20,1
4161,1,14,1
174917,1,30,1
278464,3,19,1
324159,0,11,1
55837,4,29,1
652793,1,13,1
312629,7,11,1
172160,2,19,1
338343,4,27,1
281950,3,12,1
143103,3,22,1
145835,3,13,1
662352,6,31,1
543314,7,14,1
303620,6,14,1
348594,5,21,1
492667,1,24,1
216296,10,11,1
310318,3,14,1
72391,6,27,1
450508,5,22,1
267645,6,19,1
199491,5,27,1
199768,9,13,1
209126,5,23,1
185009,5,33,1
60643,10,15,1
270845,1,26,1
136503,6,28,1
609891,8,25,1
277191,198,227,1
216046,3,21,1
449162,359,383,1
68171,673,684,2
504764,188,208,1
176354,5,26,1
157521,9,33,1
240949,6,22,1
639102,3,27,1
279614,8,21,1
177229,3,24,1
619861,142,156,1
514848,5,32,1
109357,166,183,1
312205,2,21,1
172362,7,12,1
544337,1,24,1
143110,7,22,1
237325,1,26,1
280055,7,25,1
37353,187,213,1
179642,13,26,1
575888,5,22,1
335548,4,33,1
629629,239,265,2
38865,5,29,1
376319,8,11,2
152856,7,29,1
383051,6,22,1
269032,4,33,1
650042,3,31,1
181912,10,33,1
12792,8,11,1
73091,8,12,1
41471,7,17,1
336520,2,14,1
544910,1,19,1
614858,6,22,1
111910,8,12,1
311303,9,14,1
214614,0,25,1
185009,5,20,1
270845,1,13,1
174891,6,31,1
508737,3,31,1
138953,3,20,1
544911,8,19,1
515413,0,24,1
72391,6,14,1
136503,6,15,1
406475,86,98,1
223467,1,18,1
550265,197,223,1
634566,8,30,1
225158,9,21,1
609891,8,12,1
492667,1,11,1
38598,127,141,1
32103,192,211,1
152814,7,25,1
278927,125,136,1
357714,0,25,1
38534,7,22,1
216303,238,267,2
504100,9,25,1
651272,531,542,1
164941,3,21,1
38957,5,28,1
544849,9,24,1
662486,6,31,1
240836,6,34,1
371089,696,715,1
263825,2,26,1
619867,9,15,1
221653,2,29,1
566948,6,14,1
262368,5,33,1
58626,3,13,1
183562,5,28,1
110485,4,16,1
516334,10,14,1
238940,6,30,1
250008,7,30,1
206137,9,19,1
259080,154,173,1
182302,2,17,1
343673,2,25,1
593770,3,21,1
70581,1,14,1
315803,132,158,1
164976,7,29,1
600571,190,209,1
512037,10,14,1
623913,176,197,1
57396,10,39,1
374693,2,25,1
196561,122,141,1
267645,6,34,1
224987,10,20,1
648373,141,168,1
515263,5,17,1
269877,4,18,1
501212,10,15,1
450594,146,159,1
223467,179,207,1
357150,219,243,1
317202,2,31,1
626211,9,12,2
647730,2,13,1
173395,10,34,1
543374,5,29,1
619602,103,122,1
212842,498,512,1
336499,5,19,1
253656,194,218,1
152860,8,11,1
140774,1,24,1
335595,10,37,1
357151,331,357,2
175101,257,270,1
662701,0,21,1
271377,534,562,1
249950,2,15,1
9516,5,15,1
316014,7,25,1
336210,5,13,1
160871,6,20,1
17387,5,17,1
136382,2,13,1
206068,6,24,1
140953,6,34,2
648418,3,11,1
71612,10,12,1
267905,3,25,1
222815,4,28,1
506393,4,33,1
616982,124,138,1
257953,6,32,1
561488,7,26,1
513671,9,32,1
157812,1,24,1
240537,5,32,1
586644,10,18,1
73738,5,31,1
175715,2,31,1
651040,1,16,1
423998,6,32,1
17382,135,149,1
452179,170,183,1
662330,5,18,1
172599,166,185,1
200393,5,28,1
155350,10,24,1
183685,6,31,1
143022,0,18,1
260431,7,21,1
335613,10,32,1
316190,2,30,1
295844,3,28,1
422645,167,186,1
279710,5,14,1
546782,5,34,1
138952,0,21,1
72037,4,21,1
59272,165,194,1
336260,9,28,1
243530,9,37,1
365744,6,25,1
137197,10,26,1
336614,10,22,1
149391,9,33,1
193203,6,28,1
306516,2,20,1
311359,7,32,1
678092,5,14,1
653673,10,16,1
598388,175,187,1
251961,7,26,1
382689,1,24,1
326315,7,17,1
214050,7,19,1
243399,4,12,1
227062,2,18,1
336055,5,30,1
319716,1,23,1
343641,1,18,1
358583,4,16,1
228211,666,688,1
270035,6,24,1
545772,2,14,1
674777,6,18,1
282746,4,12,1
458194,6,30,1
165097,3,14,1
215466,678,692,1
24706,1,30,1
262932,1,12,2
211472,0,15,1
158716,7,25,1
684542,3,27,1
260199,8,14,1
256938,10,35,1
306339,4,31,1
310869,4,20,1
504097,10,36,1
141903,3,12,1
221508,3,23,1
73628,9,28,1
353801,6,20,1
382694,8,27,1
137323,8,32,1
501166,0,14,1
136310,4,17,1
476157,3,22,1
577368,5,13,1
107371,8,11,1
527969,60,80,1
287408,10,12,1
256728,0,18,1
242671,83,97,1
214864,7,27,1
512012,5,25,1
639328,7,27,1
476172,7,36,1
604096,8,24,1
310869,4,28,1
378934,7,36,1
270809,2,20,1
242671,83,99,1
270809,2,22,1
142960,144,166,1
501166,0,16,1
527969,60,82,1
107371,8,13,1
604096,8,26,1
335580,8,11,1
136310,4,19,1
512012,5,27,1
137323,8,34,1
412242,10,12,1
287408,10,14,1
476157,3,24,1
353801,6,22,1
553738,8,21,1
577368,5,15,1
214864,7,29,1
228730,5,20,1
382694,8,29,1
276589,8,12,1
247627,3,31,1
227044,3,29,1
312939,2,18,1
324826,5,29,1
33724,10,23,1
272977,9,18,1
223678,4,28,1
220954,154,178,1
196412,6,35,1
224901,10,15,1
216016,10,21,1
546375,156,167,1
544780,9,38,1
336642,143,169,1
489550,144,171,1
338924,4,24,1
17353,1,26,1
375968,151,173,1
615450,8,21,1
321719,8,18,1
176894,8,25,1
111281,6,13,1
282746,4,33,1
136310,4,30,1
260199,8,35,1
343796,0,15,1
459647,2,24,1
335662,1,23,1
211183,56,71,1
334666,2,24,1
170713,12,26,1
176221,5,22,1
242442,618,643,1
648373,1,23,1
69865,3,14,1
66730,0,20,1
111281,6,19,1
67420,5,16,1
622235,8,11,1
239307,0,21,1
211183,56,77,1
176221,5,28,1
577368,5,32,1
280614,6,25,1
144573,1,29,1
273060,5,11,1
335662,1,29,1
238141,201,220,1
287408,10,31,1
352690,9,35,1
321382,3,18,1
315988,1,27,1
258226,10,13,1
228070,10,25,1
656399,6,14,1
37396,480,493,2
226778,171,186,1
336225,8,34,1
190842,10,33,1
228870,0,26,1
182056,1,23,1
508151,2,26,1
170368,2,20,1
252596,8,29,1
674889,8,19,1
378734,2,30,1
70087,10,25,1
175797,6,17,1
319587,5,12,1
243290,2,23,1
271003,1,11,1
36965,8,22,1
278459,2,13,1
213733,1,19,1
507878,7,16,1
336603,10,28,1
253621,6,21,1
656399,6,31,1
142347,2,13,1
512003,296,314,1
111729,3,29,1
281195,188,215,1
597078,7,11,1
674889,8,36,1
570595,1,29,1
258226,10,30,1
243823,7,17,1
622689,1,14,1
573910,171,184,1
412659,188,201,1
392436,508,523,1
682833,6,21,1
322539,8,36,1
610087,671,693,1
382757,162,178,1
503805,3,22,1
267222,1,11,1
375415,10,14,1
254023,0,16,1
24140,194,221,1
318954,9,33,2
577515,7,31,1
226424,6,29,1
309957,8,33,1
183587,5,20,1
53608,2,11,1
504884,8,20,1
315134,9,17,1
577361,6,17,1
38651,9,19,1
663169,1,14,1
307723,3,30,1
348793,5,26,1
267905,185,199,1
33506,209,222,2
70587,10,32,1
255811,4,25,1
270768,0,12,1
252421,340,351,2
16864,52,77,1
527528,2,20,1
545738,1,13,1
280470,21,38,1
68899,8,18,1
193637,9,29,1
244360,0,23,1
204289,0,11,1
143310,1,21,1
145806,5,18,1
375415,10,34,1
279979,1,15,1
451154,8,11,1
143310,1,27,1
204289,0,17,1
623288,1,11,1
38651,9,36,1
244360,0,29,1
493675,2,25,1
335691,6,25,1
282567,6,11,1
192712,6,23,1
577361,6,34,1
527528,2,26,1
315134,9,34,1
545738,1,19,1
377507,8,13,1
142033,2,14,1
383545,3,22,1
256952,138,163,1
257408,7,20,1
165529,391,402,2
349340,8,36,1
39453,1,23,1
16869,647,664,1
272980,8,25,1
333009,9,35,1
158551,6,12,1
162689,10,19,1
516638,5,32,1
307692,1,27,1
141784,10,19,1
175227,2,21,1
315786,10,11,1
344369,5,33,1
343762,0,22,1
440138,8,28,1
226925,5,15,1
243071,5,34,1
336556,4,11,1
57880,4,19,1
316784,4,32,1
513064,10,25,1
72392,7,20,1
269796,7,32,1
214823,644,655,1
597523,27,55,1
34058,3,19,1
658982,9,25,1
315302,3,32,1
269710,3,20,1
111745,9,37,1
66122,9,23,1
257697,6,29,1
503006,1,14,1
238973,8,30,1
60881,8,16,1
263780,3,18,1
277552,4,27,1
307692,1,30,1
193740,9,16,1
269756,8,17,1
234278,5,33,1
223521,344,355,3
213590,10,29,1
259064,9,36,1
312136,0,11,1
278475,10,23,1
233339,150,176,1
316755,8,19,1
54531,4,29,1
354498,9,15,1
262980,1,28,1
262339,2,16,1
272980,8,30,1
269756,8,19,1
245261,123,137,1
263666,9,11,1
600014,160,182,1
262339,2,18,1
354498,9,17,1
193740,9,18,1
226925,5,20,1
223521,344,357,1
278475,10,25,1
312136,0,13,1
277552,4,29,1
277611,6,11,1
440138,8,33,1
237240,340,355,1
268547,3,19,1
58888,9,35,2
136566,7,26,1
544976,2,23,1
557926,1,16,1
582794,9,17,1
269760,217,228,1
622313,2,21,1
642288,5,17,1
259777,422,433,1
